Operacia;PocetPrvkov;TrvanieOperacie
Vloz;8;23900
DajIndex;8;279900
Vymaz;7;136700
DajData/NastavData;7;46900
Vloz;8;127400
DajIndex;8;250800
DajData/NastavData;8;42500
Vymaz;7;82100
DajIndex;7;146400
DajData/NastavData;7;32200
DajData/NastavData;7;21200
DajData/NastavData;7;19800
DajIndex;7;148900
DajIndex;7;222100
DajData/NastavData;7;23000
Vymaz;6;100400
DajData/NastavData;6;24900
DajData/NastavData;6;24300
DajData/NastavData;6;29900
DajIndex;6;142700
DajData/NastavData;6;21800
DajIndex;6;223500
Vloz;7;74100
DajData/NastavData;7;26200
DajData/NastavData;7;38900
Vloz;8;127900
Vloz;9;31800
DajData/NastavData;9;44700
Vymaz;8;78700
Vloz;9;116300
DajData/NastavData;9;40400
DajIndex;9;293200
DajData/NastavData;9;34300
Vloz;10;119600
DajData/NastavData;10;26400
DajData/NastavData;10;25000
DajData/NastavData;10;35400
DajData/NastavData;10;36100
Vymaz;9;104300
DajData/NastavData;9;31800
Vloz;10;108500
DajData/NastavData;10;30000
DajData/NastavData;10;31600
Vymaz;9;144100
Vloz;10;26000
DajData/NastavData;10;41600
DajData/NastavData;10;23400
DajData/NastavData;10;21600
DajData/NastavData;10;33200
Vloz;11;103800
Vymaz;10;117400
DajData/NastavData;10;33300
DajData/NastavData;10;34800
DajData/NastavData;10;23500
DajData/NastavData;10;25600
Vymaz;9;35700
DajIndex;9;297600
Vloz;10;26800
DajData/NastavData;10;37800
Vloz;11;129700
Vloz;12;131100
DajIndex;12;240800
DajData/NastavData;12;17500
Vymaz;11;24000
DajData/NastavData;11;15700
Vymaz;10;67800
DajData/NastavData;10;13600
DajData/NastavData;10;13100
DajData/NastavData;10;13000
DajIndex;10;116900
DajData/NastavData;10;15000
Vloz;11;49000
Vymaz;10;44900
DajData/NastavData;10;13200
DajData/NastavData;10;13100
Vloz;11;9800
DajData/NastavData;11;13100
Vloz;12;44900
DajData/NastavData;12;13000
Vloz;13;44800
DajData/NastavData;13;13200
DajData/NastavData;13;13500
DajData/NastavData;13;13100
DajData/NastavData;13;13200
DajData/NastavData;13;13200
Vymaz;12;44800
DajData/NastavData;12;13600
DajData/NastavData;12;13100
Vloz;13;44900
DajData/NastavData;13;13300
DajData/NastavData;13;13100
DajData/NastavData;13;13200
Vloz;14;47400
DajIndex;14;165000
DajData/NastavData;14;13400
DajData/NastavData;14;30700
DajData/NastavData;14;25200
Vloz;15;111000
Vymaz;14;47700
DajData/NastavData;14;13500
Vloz;15;9700
DajIndex;15;175700
DajData/NastavData;15;13200
DajIndex;15;183600
DajIndex;15;180300
DajData/NastavData;15;13200
DajData/NastavData;15;13700
DajData/NastavData;15;13200
Vymaz;14;45400
Vymaz;13;44800
DajIndex;13;171200
DajData/NastavData;13;13600
DajData/NastavData;13;13500
Vymaz;12;53400
DajData/NastavData;12;13500
Vymaz;11;44300
DajData/NastavData;11;13400
DajData/NastavData;11;13300
Vloz;12;45900
DajData/NastavData;12;13500
Vloz;13;44600
DajIndex;13;153400
DajData/NastavData;13;13200
DajData/NastavData;13;13600
Vymaz;12;44600
Vloz;13;45200
Vloz;14;9800
DajData/NastavData;14;13000
DajData/NastavData;14;13100
Vymaz;13;44500
DajData/NastavData;13;13500
DajData/NastavData;13;15900
DajData/NastavData;13;13700
DajData/NastavData;13;13100
Vymaz;12;45000
Vymaz;11;13600
DajData/NastavData;11;13500
DajData/NastavData;11;13100
Vloz;12;44600
Vloz;13;44400
DajData/NastavData;13;13200
Vymaz;12;14000
Vymaz;11;44300
DajData/NastavData;11;13100
DajIndex;11;128800
DajData/NastavData;11;13200
Vymaz;10;44000
DajData/NastavData;10;18300
DajData/NastavData;10;14100
Vloz;11;44800
Vymaz;10;45200
Vloz;11;10100
DajData/NastavData;11;13500
DajData/NastavData;11;13200
DajData/NastavData;11;12900
Vloz;12;57100
DajData/NastavData;12;18600
DajData/NastavData;12;27100
DajData/NastavData;12;21600
DajData/NastavData;12;21100
DajData/NastavData;12;20900
DajData/NastavData;12;20800
DajIndex;12;289200
Vloz;13;30200
Vymaz;12;86000
DajData/NastavData;12;20000
DajData/NastavData;12;37400
Vymaz;11;126000
Vymaz;10;110900
Vloz;11;13400
DajData/NastavData;11;14100
DajData/NastavData;11;13100
DajIndex;11;129400
Vymaz;10;45100
DajIndex;10;117300
DajData/NastavData;10;13700
DajData/NastavData;10;13200
Vloz;11;9500
Vymaz;10;45300
Vymaz;9;13600
DajData/NastavData;9;13300
Vymaz;8;44500
DajData/NastavData;8;13400
Vymaz;7;44800
DajIndex;7;103100
Vymaz;6;45800
Vloz;7;44400
Vymaz;6;44400
Vloz;7;44400
DajData/NastavData;7;13200
DajData/NastavData;7;13000
Vymaz;6;44400
Vymaz;5;13300
DajData/NastavData;5;13600
DajData/NastavData;5;13200
Vymaz;4;44400
DajData/NastavData;4;13200
Vymaz;3;13300
Vymaz;2;44400
DajData/NastavData;2;13100
Vloz;3;10400
Vloz;4;9600
DajIndex;4;49100
Vymaz;3;13800
DajData/NastavData;3;14900
Vymaz;2;13400
DajData/NastavData;2;13000
DajData/NastavData;2;13400
DajData/NastavData;2;13000
DajData/NastavData;2;13200
DajData/NastavData;2;13100
Vymaz;1;13500
DajData/NastavData;1;13100
Vloz;2;45800
DajData/NastavData;2;13300
Vloz;3;44800
DajData/NastavData;3;13100
DajData/NastavData;3;13100
DajData/NastavData;3;12900
DajData/NastavData;3;13100
DajData/NastavData;3;13200
DajData/NastavData;3;12800
Vloz;4;10000
Vymaz;3;13700
DajIndex;3;36400
Vymaz;2;13400
DajData/NastavData;2;15700
Vloz;3;45500
DajData/NastavData;3;14300
Vloz;4;9400
Vloz;5;44900
Vloz;6;44400
DajData/NastavData;6;13200
Vymaz;5;44700
Vymaz;4;49100
DajData/NastavData;4;16400
DajData/NastavData;4;25500
DajData/NastavData;4;45800
DajData/NastavData;4;15100
Vymaz;3;13700
Vymaz;2;44700
Vloz;3;50300
Vymaz;2;58400
DajData/NastavData;2;13600
DajIndex;2;24900
Vloz;3;9900
DajData/NastavData;3;13300
Vymaz;2;44300
Vloz;3;9500
DajData/NastavData;3;13000
DajData/NastavData;3;13000
Vloz;4;44800
Vloz;5;9500
DajData/NastavData;5;13300
Vymaz;4;13600
DajData/NastavData;4;13200
DajData/NastavData;4;13100
Vloz;5;45000
DajData/NastavData;5;13200
Vymaz;4;13500
DajData/NastavData;4;12900
DajData/NastavData;4;13300
DajData/NastavData;4;13200
Vloz;5;46700
Vymaz;4;44400
DajIndex;4;48700
DajIndex;4;48600
Vloz;5;9700
DajData/NastavData;5;13400
Vloz;6;45000
DajData/NastavData;6;13200
DajData/NastavData;6;13100
DajData/NastavData;6;12900
Vymaz;5;22100
DajData/NastavData;5;22000
Vloz;6;21600
Vymaz;5;105600
DajData/NastavData;5;30400
DajData/NastavData;5;43300
Vloz;6;31500
Vloz;7;31800
DajData/NastavData;7;45400
Vymaz;6;152000
Vloz;7;70200
DajData/NastavData;7;25400
Vloz;8;16200
DajData/NastavData;8;24500
DajData/NastavData;8;26700
Vloz;9;154200
Vloz;10;32500
DajIndex;10;347800
DajData/NastavData;10;21600
Vymaz;9;88700
DajData/NastavData;9;23100
DajIndex;9;208900
DajData/NastavData;9;19500
Vymaz;8;19200
Vloz;9;137700
DajData/NastavData;9;45200
Vloz;10;102800
Vymaz;9;134500
Vloz;10;32800
DajData/NastavData;10;45000
Vloz;11;158500
DajData/NastavData;11;45200
DajData/NastavData;11;41500
DajData/NastavData;11;36800
DajIndex;11;208300
DajData/NastavData;11;20100
Vloz;12;14500
DajIndex;12;225700
DajData/NastavData;12;20600
Vymaz;11;21200
DajData/NastavData;11;21100
DajData/NastavData;11;21400
DajData/NastavData;11;20900
DajData/NastavData;11;20400
DajData/NastavData;11;20500
DajData/NastavData;11;20400
Vloz;12;72700
Vloz;13;69700
DajData/NastavData;13;21000
DajIndex;13;242000
Vymaz;12;69500
Vloz;13;71900
DajData/NastavData;13;21000
Vloz;14;14600
DajData/NastavData;14;20300
DajData/NastavData;14;20500
DajData/NastavData;14;20200
DajData/NastavData;14;20800
DajIndex;14;233700
DajData/NastavData;14;13600
Vymaz;13;45100
Vloz;14;45300
DajData/NastavData;14;13200
DajData/NastavData;14;13000
DajData/NastavData;14;13100
DajData/NastavData;14;16700
Vloz;15;44900
Vymaz;14;13600
DajData/NastavData;14;13100
DajData/NastavData;14;13100
DajIndex;14;163500
DajData/NastavData;14;13200
DajData/NastavData;14;13300
DajData/NastavData;14;13200
Vymaz;13;13600
DajData/NastavData;13;13100
DajData/NastavData;13;13300
Vymaz;12;44800
DajData/NastavData;12;13200
Vloz;13;9600
DajData/NastavData;13;12900
DajData/NastavData;13;20800
DajData/NastavData;13;13400
DajData/NastavData;13;13200
DajData/NastavData;13;13100
DajIndex;13;163100
DajIndex;13;152200
Vymaz;12;44000
DajData/NastavData;12;13600
DajData/NastavData;12;13400
Vymaz;11;13500
Vloz;12;45300
DajData/NastavData;12;13200
DajData/NastavData;12;13500
Vloz;13;45800
DajData/NastavData;13;13300
DajData/NastavData;13;13000
DajData/NastavData;13;13300
DajData/NastavData;13;13200
Vymaz;12;45000
DajIndex;12;152300
DajData/NastavData;12;13300
DajData/NastavData;12;13000
Vloz;13;44500
Vloz;14;44400
Vloz;15;9500
DajData/NastavData;15;13100
DajData/NastavData;15;13000
DajData/NastavData;15;13000
Vloz;16;9500
DajData/NastavData;16;13200
Vloz;17;80900
Vloz;18;44500
Vloz;19;9500
DajData/NastavData;19;13000
Vymaz;18;44500
Vymaz;17;13600
DajIndex;17;208600
DajData/NastavData;17;13100
DajData/NastavData;17;13000
DajData/NastavData;17;13000
Vloz;18;9600
DajData/NastavData;18;13100
DajIndex;18;210500
Vloz;19;44200
DajData/NastavData;19;13000
DajIndex;19;221200
DajIndex;19;242100
DajData/NastavData;19;13300
DajData/NastavData;19;13300
Vloz;20;45200
Vymaz;19;44300
DajIndex;19;221500
DajData/NastavData;19;13300
DajData/NastavData;19;13300
Vloz;20;44900
Vloz;21;44500
DajData/NastavData;21;13400
Vymaz;20;50000
DajData/NastavData;20;13300
Vloz;21;44600
DajData/NastavData;21;13100
Vloz;22;44700
DajData/NastavData;22;13200
DajData/NastavData;22;13000
DajData/NastavData;22;13100
Vloz;23;44200
DajIndex;23;267100
Vymaz;22;43800
Vloz;23;44200
DajData/NastavData;23;13200
Vymaz;22;44500
DajData/NastavData;22;17600
Vloz;23;112500
Vloz;24;46900
DajData/NastavData;24;13500
DajIndex;24;278200
DajData/NastavData;24;13300
DajData/NastavData;24;13100
DajData/NastavData;24;13000
DajIndex;24;332600
DajData/NastavData;24;15500
DajData/NastavData;24;13600
Vloz;25;45200
Vymaz;24;14100
Vymaz;23;49200
Vymaz;22;13400
Vymaz;21;44100
DajData/NastavData;21;13300
DajIndex;21;247500
DajData/NastavData;21;13300
DajData/NastavData;21;13200
Vymaz;20;13700
DajData/NastavData;20;13400
DajData/NastavData;20;14900
DajData/NastavData;20;13500
DajData/NastavData;20;13100
Vloz;21;44900
DajIndex;21;246300
DajIndex;21;247900
DajData/NastavData;21;13300
Vymaz;20;44700
Vymaz;19;44000
Vloz;20;9700
Vloz;21;48200
Vymaz;20;44900
DajData/NastavData;20;13200
DajData/NastavData;20;13200
DajData/NastavData;20;13000
Vloz;21;44600
Vymaz;20;44600
Vymaz;19;13600
DajData/NastavData;19;13200
Vymaz;18;44400
Vymaz;17;44000
Vloz;18;44800
DajData/NastavData;18;13200
Vloz;19;44800
Vymaz;18;13700
DajData/NastavData;18;13200
Vymaz;17;44600
Vymaz;16;13400
Vloz;17;9700
Vymaz;16;49600
Vloz;17;44500
Vloz;18;9500
Vymaz;17;44600
DajData/NastavData;17;13300
Vloz;18;44800
DajData/NastavData;18;13300
DajData/NastavData;18;13100
Vymaz;17;44200
Vymaz;16;44500
DajData/NastavData;16;13300
Vymaz;15;13700
DajData/NastavData;15;13200
Vymaz;14;13700
DajData/NastavData;14;13200
Vloz;15;44900
DajIndex;15;179700
DajData/NastavData;15;15600
Vloz;16;11500
DajData/NastavData;16;13600
Vymaz;15;81600
DajIndex;15;259800
DajData/NastavData;15;17300
Vymaz;14;14400
DajIndex;14;284400
DajData/NastavData;14;19200
Vymaz;13;64900
DajIndex;13;234200
Vymaz;12;68600
Vloz;13;22600
Vymaz;12;15900
Vloz;13;97700
Vloz;14;213300
DajData/NastavData;14;21600
DajData/NastavData;14;35800
Vloz;15;72500
DajData/NastavData;15;22400
Vymaz;14;73000
Vloz;15;14800
DajIndex;15;290100
DajData/NastavData;15;25400
Vloz;16;74200
Vymaz;15;74700
DajData/NastavData;15;22900
DajData/NastavData;15;22900
DajIndex;15;286400
Vloz;16;115900
DajData/NastavData;16;15500
DajIndex;16;340300
Vymaz;15;24600
DajData/NastavData;15;23700
DajIndex;15;230200
DajIndex;15;177300
DajData/NastavData;15;13300
DajData/NastavData;15;13200
DajData/NastavData;15;13100
DajData/NastavData;15;13000
DajData/NastavData;15;13000
Vymaz;14;44900
Vloz;15;45000
DajData/NastavData;15;13100
Vloz;16;44900
DajData/NastavData;16;13300
DajData/NastavData;16;12900
Vymaz;15;44500
DajData/NastavData;15;13200
Vymaz;14;13400
DajData/NastavData;14;13300
Vloz;15;74500
DajData/NastavData;15;13700
DajIndex;15;222400
DajIndex;15;183100
DajIndex;15;229000
Vymaz;14;48300
Vymaz;13;72000
DajIndex;13;296100
DajData/NastavData;13;19300
DajData/NastavData;13;36900
Vymaz;12;129600
DajIndex;12;246200
Vloz;13;124700
DajData/NastavData;13;39100
Vloz;14;14700
DajData/NastavData;14;13500
Vymaz;13;48700
Vloz;14;65300
DajData/NastavData;14;23800
Vloz;15;23700
DajData/NastavData;15;23700
DajIndex;15;426900
Vloz;16;105100
DajData/NastavData;16;36900
DajIndex;16;227400
DajData/NastavData;16;13600
Vymaz;15;46700
DajData/NastavData;15;13500
DajData/NastavData;15;13500
DajData/NastavData;15;14000
DajIndex;15;272600
DajData/NastavData;15;24300
DajData/NastavData;15;13600
DajData/NastavData;15;13100
DajData/NastavData;15;13200
Vymaz;14;45700
DajData/NastavData;14;15700
DajData/NastavData;14;13100
Vymaz;13;45200
Vymaz;12;44000
DajData/NastavData;12;13300
DajIndex;12;143400
DajData/NastavData;12;13800
DajData/NastavData;12;15000
Vymaz;11;65800
DajData/NastavData;11;32800
DajData/NastavData;11;20400
DajIndex;11;133300
Vymaz;10;44900
DajData/NastavData;10;30600
Vymaz;9;23200
DajData/NastavData;9;22000
DajIndex;9;153000
DajData/NastavData;9;24300
Vloz;10;99900
DajData/NastavData;10;22900
DajIndex;10;174000
Vymaz;9;14200
Vloz;10;48500
DajData/NastavData;10;13100
Vloz;11;10100
Vloz;12;45400
Vloz;13;46200
Vloz;14;10000
DajIndex;14;259300
Vloz;15;10300
DajData/NastavData;15;19400
Vloz;16;46700
DajData/NastavData;16;13200
DajData/NastavData;16;15300
Vymaz;15;44400
Vymaz;14;44300
DajData/NastavData;14;13200
Vloz;15;10100
DajIndex;15;176100
Vloz;16;9600
Vymaz;15;44400
DajData/NastavData;15;13300
DajData/NastavData;15;13200
DajData/NastavData;15;13100
Vymaz;14;13400
DajData/NastavData;14;13200
Vymaz;13;44700
DajData/NastavData;13;13500
Vloz;14;44900
DajData/NastavData;14;13300
DajData/NastavData;14;13100
DajData/NastavData;14;13000
Vymaz;13;13600
DajData/NastavData;13;13200
DajData/NastavData;13;13000
Vymaz;12;46000
DajIndex;12;141900
DajData/NastavData;12;13400
DajData/NastavData;12;13100
DajIndex;12;141800
DajData/NastavData;12;13400
Vymaz;11;13500
DajData/NastavData;11;13300
Vloz;12;45100
DajData/NastavData;12;13500
Vymaz;11;43800
DajData/NastavData;11;13200
Vloz;12;45000
DajData/NastavData;12;13200
Vymaz;11;13800
DajIndex;11;131200
DajData/NastavData;11;13200
DajData/NastavData;11;13200
DajData/NastavData;11;13100
DajIndex;11;130400
DajData/NastavData;11;13200
DajData/NastavData;11;13100
DajIndex;11;202300
Vymaz;10;70800
Vloz;11;10300
DajData/NastavData;11;13100
DajIndex;11;128700
DajData/NastavData;11;13900
Vloz;12;45400
DajData/NastavData;12;13000
Vymaz;11;49300
DajData/NastavData;11;13300
DajData/NastavData;11;13000
DajData/NastavData;11;12900
DajData/NastavData;11;13100
DajData/NastavData;11;13100
DajIndex;11;270000
Vloz;12;63600
Vloz;13;16300
Vymaz;12;24400
Vloz;13;18900
Vymaz;12;55100
DajData/NastavData;12;15200
DajData/NastavData;12;14600
DajData/NastavData;12;16300
DajData/NastavData;12;32300
DajData/NastavData;12;17000
Vymaz;11;46700
Vloz;12;10100
Vloz;13;44900
Vloz;14;45000
DajData/NastavData;14;13300
Vloz;15;47500
Vymaz;14;15000
Vymaz;13;45300
Vymaz;12;66500
DajData/NastavData;12;27500
DajData/NastavData;12;14500
Vloz;13;45000
Vymaz;12;27100
Vymaz;11;75500
DajIndex;11;91000
DajData/NastavData;11;13500
DajData/NastavData;11;13400
DajData/NastavData;11;13200
Vloz;12;10100
DajData/NastavData;12;21300
DajIndex;12;148900
DajData/NastavData;12;16700
DajData/NastavData;12;13700
Vymaz;11;14000
DajData/NastavData;11;14000
Vloz;12;10100
DajData/NastavData;12;13100
DajData/NastavData;12;13200
DajData/NastavData;12;13000
DajData/NastavData;12;12900
DajData/NastavData;12;13000
DajData/NastavData;12;12900
Vloz;13;45300
DajData/NastavData;13;13200
Vloz;14;44400
Vloz;15;44600
Vymaz;14;44400
DajData/NastavData;14;15700
DajData/NastavData;14;13100
Vymaz;13;44300
DajData/NastavData;13;13100
DajData/NastavData;13;13100
DajData/NastavData;13;13100
DajData/NastavData;13;12900
DajData/NastavData;13;13000
DajIndex;13;152800
Vymaz;12;44500
DajIndex;12;146500
Vloz;13;9700
DajIndex;13;152200
Vloz;14;46400
DajData/NastavData;14;13200
Vymaz;13;44400
DajIndex;13;152600
Vloz;14;44900
DajData/NastavData;14;13100
Vymaz;13;44100
Vloz;14;44500
Vloz;15;44100
Vymaz;14;13500
Vloz;15;9800
Vloz;16;44400
DajData/NastavData;16;13300
Vloz;17;44100
DajData/NastavData;17;13300
DajData/NastavData;17;13000
DajData/NastavData;17;13100
DajData/NastavData;17;13100
DajData/NastavData;17;13200
DajIndex;17;199800
DajData/NastavData;17;13200
DajData/NastavData;17;13300
DajIndex;17;199500
DajData/NastavData;17;13400
Vymaz;16;44100
Vloz;17;44200
DajData/NastavData;17;13500
Vymaz;16;44000
Vloz;17;44300
DajData/NastavData;17;13300
DajData/NastavData;17;18300
DajData/NastavData;17;13900
Vloz;18;10400
DajData/NastavData;18;13300
Vymaz;17;48600
Vymaz;16;13500
Vymaz;15;44300
DajData/NastavData;15;13200
DajData/NastavData;15;13100
DajData/NastavData;15;13000
DajData/NastavData;15;13100
Vloz;16;44900
DajData/NastavData;16;13000
Vymaz;15;44300
DajIndex;15;176200
DajIndex;15;180500
Vloz;16;9600
Vymaz;15;44200
DajData/NastavData;15;13100
Vymaz;14;43800
DajIndex;14;163900
DajData/NastavData;14;13200
Vymaz;13;43900
Vloz;14;9600
Vloz;15;44200
Vloz;16;44700
Vymaz;15;43800
Vloz;16;44300
Vymaz;15;44100
Vymaz;14;15200
DajData/NastavData;14;13300
Vloz;15;9500
Vloz;16;9400
Vloz;17;9200
DajData/NastavData;17;13000
DajIndex;17;199200
Vloz;18;9800
DajData/NastavData;18;13300
Vloz;19;102400
DajIndex;19;281500
DajData/NastavData;19;13600
Vymaz;18;13800
DajData/NastavData;18;13300
DajData/NastavData;18;13100
Vymaz;17;44600
Vymaz;16;44400
DajData/NastavData;16;13400
DajData/NastavData;16;13100
Vymaz;15;43800
Vloz;16;10000
Vymaz;15;44600
DajData/NastavData;15;13300
Vloz;16;44900
Vloz;17;44600
DajData/NastavData;17;13200
Vymaz;16;43800
DajData/NastavData;16;13100
DajData/NastavData;16;13200
DajData/NastavData;16;13400
DajData/NastavData;16;13100
DajData/NastavData;16;13100
DajData/NastavData;16;51000
DajData/NastavData;16;24500
Vymaz;15;48200
DajData/NastavData;15;13600
DajData/NastavData;15;13600
DajData/NastavData;15;13200
DajData/NastavData;15;13100
DajIndex;15;175400
DajData/NastavData;15;13300
DajIndex;15;175500
DajData/NastavData;15;13300
Vymaz;14;13600
DajIndex;14;182800
DajData/NastavData;14;13300
DajData/NastavData;14;13100
Vymaz;13;44400
DajData/NastavData;13;13300
DajData/NastavData;13;13300
DajIndex;13;152500
Vymaz;12;13500
Vymaz;11;44000
Vymaz;10;43700
DajData/NastavData;10;13000
DajData/NastavData;10;13200
Vymaz;9;44600
DajData/NastavData;9;13100
DajData/NastavData;9;13200
DajData/NastavData;9;13400
Vloz;10;9900
Vloz;11;44800
Vloz;12;9700
Vymaz;11;44400
Vloz;12;9700
DajData/NastavData;12;13200
Vymaz;11;13400
DajData/NastavData;11;13200
DajData/NastavData;11;13200
DajData/NastavData;11;13100
Vloz;12;45300
Vymaz;11;44300
DajData/NastavData;11;13400
DajData/NastavData;11;13600
DajData/NastavData;11;13800
DajData/NastavData;11;13300
Vymaz;10;13400
DajData/NastavData;10;13200
DajData/NastavData;10;13300
DajData/NastavData;10;13100
Vloz;11;44800
DajData/NastavData;11;13900
Vymaz;10;13800
Vymaz;9;13300
Vymaz;8;13300
Vloz;9;44300
DajData/NastavData;9;13300
Vymaz;8;44000
DajData/NastavData;8;13600
Vloz;9;44700
DajData/NastavData;9;13100
DajData/NastavData;9;13000
DajData/NastavData;9;13200
DajIndex;9;105700
Vymaz;8;13500
DajData/NastavData;8;13200
Vymaz;7;43800
DajData/NastavData;7;13300
DajData/NastavData;7;13200
DajData/NastavData;7;13200
Vloz;8;10100
DajData/NastavData;8;13300
DajData/NastavData;8;13100
DajData/NastavData;8;13000
DajData/NastavData;8;13200
DajData/NastavData;8;13200
DajData/NastavData;8;13200
DajData/NastavData;8;13000
DajData/NastavData;8;13000
DajData/NastavData;8;12900
Vymaz;7;44600
DajData/NastavData;7;13300
DajData/NastavData;7;13000
Vymaz;6;13400
Vloz;7;10000
Vymaz;6;44400
Vymaz;5;44300
DajData/NastavData;5;13100
DajData/NastavData;5;13000
Vymaz;4;44700
Vymaz;3;13400
DajData/NastavData;3;13300
DajData/NastavData;3;13200
Vymaz;2;19200
Vymaz;1;13500
DajData/NastavData;1;13100
DajData/NastavData;1;13200
DajIndex;1;13500
DajData/NastavData;1;13100
DajData/NastavData;1;13400
DajData/NastavData;1;13000
Vloz;2;9700
Vloz;3;9500
Vloz;4;45000
