Operacia;PocetPrvkov;TrvanieOperacie
Vymaz;12;98200
Vloz;13;18200
DajData/NastavData;13;25600
DajData/NastavData;13;20500
Vymaz;12;90800
Vloz;13;83900
Vymaz;12;220600
Vymaz;11;77600
DajIndex;11;205500
Vloz;12;14600
DajData/NastavData;12;30200
Vloz;13;15200
Vloz;14;16500
Vymaz;13;70300
Vloz;14;74800
Vymaz;13;67700
Vymaz;12;70400
Vymaz;11;23300
Vloz;12;14000
Vymaz;11;76100
Vymaz;10;72800
Vymaz;9;66900
DajData/NastavData;9;21000
DajData/NastavData;9;20600
Vymaz;8;69300
Vloz;9;70600
Vloz;10;15900
Vloz;11;68700
Vymaz;10;24100
Vloz;11;15400
DajData/NastavData;11;19000
Vloz;12;67200
DajData/NastavData;12;21400
Vymaz;11;21500
Vloz;12;15800
DajData/NastavData;12;20700
Vloz;13;16800
DajData/NastavData;13;21300
Vymaz;12;73400
Vymaz;11;46300
DajData/NastavData;11;23400
Vloz;12;16800
Vymaz;11;73400
Vloz;12;17800
Vymaz;11;71000
Vloz;12;72500
Vloz;13;90900
Vymaz;12;92600
Vymaz;11;28100
Vymaz;10;26300
Vymaz;9;24400
DajData/NastavData;9;27900
Vymaz;8;70700
Vloz;9;17300
Vloz;10;46600
Vymaz;9;14300
Vymaz;8;13200
DajData/NastavData;8;13100
Vloz;9;9500
DajData/NastavData;9;14600
Vymaz;8;13400
Vymaz;7;44300
Vymaz;6;43700
Vloz;7;44300
Vloz;8;60500
Vloz;9;44400
DajIndex;9;111700
Vloz;10;9800
DajIndex;10;118400
Vloz;11;44400
Vloz;12;44100
Vloz;13;9600
Vloz;14;44500
DajIndex;14;165800
Vloz;15;45700
Vloz;16;44900
DajData/NastavData;16;13000
Vymaz;15;45300
Vloz;16;26100
Vymaz;15;134700
Vymaz;14;117000
Vymaz;13;84600
Vymaz;12;30800
Vloz;13;76100
Vloz;14;76900
Vymaz;13;127600
Vloz;14;70200
Vloz;15;147000
Vloz;16;89200
Vloz;17;73100
Vloz;18;13000
Vloz;19;82100
Vloz;20;152500
Vloz;21;273200
Vymaz;20;162900
Vloz;21;158000
DajData/NastavData;21;27800
Vloz;22;85300
DajIndex;22;822100
Vymaz;21;97900
Vloz;22;54300
Vymaz;21;102800
Vymaz;20;45700
Vloz;21;9900
DajData/NastavData;21;13300
Vymaz;20;44100
Vloz;21;9700
Vymaz;20;13100
Vymaz;19;54200
Vloz;20;10000
Vymaz;19;44300
Vymaz;18;20500
Vloz;19;68900
DajIndex;19;356600
DajData/NastavData;19;18100
Vymaz;18;71100
DajData/NastavData;18;21600
Vloz;19;72900
Vloz;20;79300
DajData/NastavData;20;23800
Vloz;21;71400
Vloz;22;16400
Vymaz;21;71200
DajData/NastavData;21;21100
Vymaz;20;65900
Vymaz;19;64600
DajData/NastavData;19;22600
Vymaz;18;22100
Vloz;19;16600
Vloz;20;16200
Vloz;21;10500
Vloz;22;44900
Vloz;23;48500
DajData/NastavData;23;13400
Vloz;24;9500
Vymaz;23;45100
Vymaz;22;44400
Vymaz;21;13800
DajIndex;21;262300
Vloz;22;47400
Vymaz;21;45300
Vloz;22;69400
Vloz;23;10100
Vloz;24;9900
Vloz;25;61200
Vymaz;24;45000
Vloz;25;10400
DajIndex;25;294900
Vymaz;24;44500
Vymaz;23;14200
DajData/NastavData;23;13400
Vymaz;22;13900
Vloz;23;46500
Vymaz;22;45700
Vymaz;21;45400
Vloz;22;9700
Vloz;23;44800
DajData/NastavData;23;14300
DajData/NastavData;23;13100
Vloz;24;9400
Vloz;25;45000
Vloz;26;44000
Vloz;27;9500
Vymaz;26;44400
Vymaz;25;44200
Vymaz;24;44100
Vymaz;23;13500
Vymaz;22;43800
Vloz;23;44700
DajData/NastavData;23;13600
Vymaz;22;13400
Vymaz;21;43500
Vymaz;20;43700
Vymaz;19;44200
DajIndex;19;238000
Vymaz;18;44100
Vloz;19;44500
Vymaz;18;13500
Vymaz;17;13000
Vloz;18;9700
DajData/NastavData;18;13200
Vymaz;17;13500
Vymaz;16;13200
DajData/NastavData;16;13100
Vloz;17;44400
Vloz;18;44300
Vymaz;17;44000
Vloz;18;44300
DajData/NastavData;18;13100
Vymaz;17;19900
DajData/NastavData;17;13300
Vloz;18;9500
Vymaz;17;44400
Vloz;18;44000
DajData/NastavData;18;13200
Vloz;19;9900
Vloz;20;45000
Vymaz;19;44300
Vloz;20;43700
Vloz;21;9500
Vymaz;20;43900
Vloz;21;9500
DajData/NastavData;21;13100
Vloz;22;9400
Vloz;23;9400
Vymaz;22;45000
Vymaz;21;13500
Vloz;22;44700
DajIndex;22;277900
Vloz;23;44200
Vloz;24;9400
Vymaz;23;44900
DajData/NastavData;23;13100
Vymaz;22;44300
Vymaz;21;44300
Vloz;22;49000
Vymaz;21;44000
Vymaz;20;13200
Vloz;21;44500
Vymaz;20;16200
Vloz;21;65000
DajIndex;21;248500
Vymaz;20;45200
Vymaz;19;44700
Vloz;20;44800
Vloz;21;44100
Vymaz;20;13400
Vloz;21;44600
DajData/NastavData;21;13100
Vloz;22;44400
Vymaz;21;44000
Vymaz;20;13500
Vymaz;19;13500
DajIndex;19;436200
DajIndex;19;679400
Vloz;20;17600
DajData/NastavData;20;25600
DajData/NastavData;20;22600
DajData/NastavData;20;26200
Vymaz;19;28800
DajData/NastavData;19;21500
Vloz;20;72700
Vloz;21;72900
DajIndex;21;401900
DajData/NastavData;21;23200
Vymaz;20;34600
Vloz;21;76000
Vymaz;20;31500
Vloz;21;31800
Vloz;22;64000
Vymaz;21;22000
Vymaz;20;105600
Vloz;21;79700
Vymaz;20;32200
Vymaz;19;110600
Vymaz;18;95300
Vymaz;17;22600
Vloz;18;68200
Vymaz;17;70100
Vymaz;16;68500
Vloz;17;21100
DajIndex;17;312700
Vymaz;16;29300
DajData/NastavData;16;31600
Vymaz;15;24800
Vymaz;14;72700
Vymaz;13;79700
DajData/NastavData;13;43200
DajIndex;13;447000
Vymaz;12;117300
DajData/NastavData;12;26500
Vloz;13;106700
Vloz;14;77000
Vymaz;13;68700
Vymaz;12;22100
Vloz;13;70900
Vloz;14;70000
Vloz;15;16000
Vymaz;14;90000
Vloz;15;15200
Vloz;16;45100
Vloz;17;9400
Vloz;18;44400
Vloz;19;44400
Vloz;20;44700
Vymaz;19;44800
DajIndex;19;226500
Vymaz;18;13800
Vymaz;17;14700
Vymaz;16;69200
Vymaz;15;31800
Vloz;16;45800
Vloz;17;44100
Vloz;18;9700
DajIndex;18;212100
Vymaz;17;13600
DajData/NastavData;17;13800
Vymaz;16;58400
DajData/NastavData;16;13400
Vloz;17;45500
Vymaz;16;44200
DajIndex;16;208000
Vymaz;15;44800
DajData/NastavData;15;13200
Vloz;16;45400
Vymaz;15;13600
Vloz;16;9600
Vloz;17;9500
Vloz;18;44400
Vymaz;17;44200
Vloz;18;44400
Vymaz;17;43700
DajIndex;17;201900
Vloz;18;11500
DajData/NastavData;18;13700
Vymaz;17;68400
Vymaz;16;102000
Vloz;17;91600
Vymaz;16;102400
DajIndex;16;500800
DajData/NastavData;16;34900
Vloz;17;20500
Vymaz;16;112600
DajIndex;16;478500
Vloz;17;26500
Vymaz;16;123200
Vymaz;15;123700
Vloz;16;124100
Vloz;17;121500
Vymaz;16;140700
DajIndex;16;514600
Vymaz;15;36400
Vloz;16;24800
DajIndex;16;372000
DajData/NastavData;16;20800
Vymaz;15;19300
Vymaz;14;19000
Vloz;15;63400
Vymaz;14;22300
Vymaz;13;74900
Vymaz;12;73500
Vymaz;11;75800
Vloz;12;85700
Vymaz;11;20000
Vloz;12;88900
Vloz;13;119700
Vloz;14;149100
Vymaz;13;91900
DajIndex;13;352800
Vymaz;12;123100
Vloz;13;105800
Vymaz;12;42200
DajIndex;12;320500
DajIndex;12;426900
Vymaz;11;52800
DajIndex;11;359600
DajIndex;11;322000
Vloz;12;112000
DajData/NastavData;12;34200
DajData/NastavData;12;43300
Vloz;13;118200
Vymaz;12;100500
Vymaz;11;84600
DajIndex;11;209100
Vymaz;10;22100
DajIndex;10;178700
Vymaz;9;70700
Vymaz;8;67900
DajIndex;8;140500
Vymaz;7;56900
Vymaz;6;67300
DajData/NastavData;6;24800
Vymaz;5;20000
DajData/NastavData;5;22800
Vymaz;4;105100
DajData/NastavData;4;13600
Vymaz;3;13600
Vymaz;2;44800
Vymaz;1;13500
DajIndex;1;13200
DajData/NastavData;1;13200
DajData/NastavData;1;13000
Vymaz;0;21300
Vloz;1;10000
Vloz;2;9300
Vymaz;1;14000
Vymaz;0;13100
Vloz;1;9700
Vymaz;0;13300
Vloz;1;9500
Vloz;2;45800
DajData/NastavData;2;13400
DajIndex;2;24800
Vymaz;1;44000
Vymaz;0;13100
Vloz;1;9500
Vymaz;0;13300
Vloz;1;9600
Vloz;2;44400
Vymaz;1;13400
Vymaz;0;13100
Vloz;1;9900
DajData/NastavData;1;13100
DajData/NastavData;1;13000
Vymaz;0;13200
Vloz;1;9600
Vloz;2;9700
Vymaz;1;44100
DajIndex;1;13600
Vloz;2;45600
Vloz;3;44400
DajData/NastavData;3;13400
Vymaz;2;44700
Vymaz;1;13500
DajIndex;1;13100
Vymaz;0;14100
Vloz;1;9500
DajData/NastavData;1;13200
Vloz;2;44600
Vymaz;1;44900
Vloz;2;44300
DajIndex;2;24800
DajIndex;2;25300
Vymaz;1;13300
Vymaz;0;13200
Vloz;1;9500
Vymaz;0;13500
Vloz;1;9600
DajData/NastavData;1;13100
Vymaz;0;13700
Vloz;1;9300
DajIndex;1;13500
Vloz;2;9600
Vloz;3;44400
Vloz;4;44500
DajIndex;4;48200
DajData/NastavData;4;13200
DajData/NastavData;4;13100
DajData/NastavData;4;13200
Vloz;5;9500
Vymaz;4;13800
Vloz;5;44900
DajIndex;5;59300
Vymaz;4;44500
Vymaz;3;44700
Vymaz;2;13200
DajData/NastavData;2;13400
Vymaz;1;13400
Vloz;2;9600
Vloz;3;11100
Vymaz;2;26900
Vloz;3;17400
Vloz;4;74300
DajData/NastavData;4;13700
Vloz;5;44800
DajData/NastavData;5;13200
DajData/NastavData;5;13200
DajData/NastavData;5;13100
Vymaz;4;13700
Vloz;5;45000
Vloz;6;44300
DajData/NastavData;6;13000
DajData/NastavData;6;13100
DajData/NastavData;6;13000
DajData/NastavData;6;26300
Vymaz;5;62200
Vymaz;4;69200
Vymaz;3;45600
Vloz;4;44600
DajData/NastavData;4;13500
Vloz;5;45400
Vymaz;4;13300
Vloz;5;44500
Vloz;6;44000
Vymaz;5;43600
Vloz;6;44400
Vloz;7;44000
Vymaz;6;44200
DajIndex;6;71500
Vloz;7;44400
Vloz;8;9700
Vloz;9;46900
DajIndex;9;105900
Vloz;10;44800
DajIndex;10;116900
Vymaz;9;43800
Vymaz;8;44200
DajData/NastavData;8;14700
DajIndex;8;94600
DajData/NastavData;8;13200
Vloz;9;44900
Vloz;10;44200
Vymaz;9;13400
Vymaz;8;13500
Vloz;9;16000
Vloz;10;14100
Vymaz;9;45000
Vloz;10;44200
Vymaz;9;47700
Vymaz;8;44500
Vymaz;7;45300
Vloz;8;9700
DajData/NastavData;8;13100
DajData/NastavData;8;13100
DajIndex;8;94900
Vloz;9;45300
Vymaz;8;14200
DajIndex;8;184300
Vloz;9;130700
DajData/NastavData;9;31600
Vymaz;8;62700
Vloz;9;67400
Vymaz;8;32600
DajIndex;8;239800
Vloz;9;89400
Vloz;10;85400
Vymaz;9;82000
Vymaz;8;92000
Vloz;9;86000
DajIndex;9;200900
Vymaz;8;76900
Vymaz;7;77000
DajIndex;7;152600
Vymaz;6;78300
Vymaz;5;23800
DajData/NastavData;5;27600
Vloz;6;84200
Vymaz;5;72400
Vymaz;4;21100
Vymaz;3;59900
DajData/NastavData;3;18400
Vloz;4;69600
Vymaz;3;71700
Vloz;4;71300
DajIndex;4;83200
Vymaz;3;22600
DajIndex;3;66200
Vymaz;2;23900
DajIndex;2;44200
Vymaz;1;23100
Vymaz;0;29900
Vloz;1;17500
DajIndex;1;23600
Vloz;2;75400
Vymaz;1;79900
Vymaz;0;21300
Vloz;1;15500
DajIndex;1;21600
DajIndex;1;21300
Vymaz;0;21100
Vloz;1;15100
Vloz;2;15000
Vloz;3;67000
DajIndex;3;61000
Vymaz;2;76100
Vymaz;1;74300
DajIndex;1;18200
DajData/NastavData;1;19800
Vloz;2;16100
DajData/NastavData;2;21200
Vymaz;1;68000
Vymaz;0;21300
Vloz;1;16300
DajIndex;1;23800
Vloz;2;14100
Vymaz;1;21600
Vloz;2;15100
Vloz;3;124800
DajIndex;3;101200
Vymaz;2;35200
Vymaz;1;119300
Vloz;2;22100
Vymaz;1;120600
DajData/NastavData;1;35300
Vloz;2;26100
Vymaz;1;42000
Vloz;2;30100
Vloz;3;24500
DajData/NastavData;3;54300
Vloz;4;17500
Vymaz;3;31400
DajData/NastavData;3;34100
Vymaz;2;19200
Vloz;3;16700
Vloz;4;71200
Vymaz;3;114000
Vymaz;2;108000
Vloz;3;28500
DajData/NastavData;3;23600
Vymaz;2;106100
Vymaz;1;18500
DajData/NastavData;1;17600
DajData/NastavData;1;24900
Vloz;2;115700
DajIndex;2;67800
DajData/NastavData;2;35600
Vloz;3;111300
Vymaz;2;121100
Vymaz;1;35500
Vymaz;0;35500
Vloz;1;25400
Vymaz;0;37300
Vloz;1;27500
Vloz;2;24800
DajIndex;2;67300
DajData/NastavData;2;34300
DajIndex;2;67000
DajIndex;2;67000
Vymaz;1;119900
DajData/NastavData;1;39000
Vymaz;0;20400
Vloz;1;31100
Vymaz;0;30700
Vloz;1;24300
Vloz;2;25800
DajData/NastavData;2;26600
DajIndex;2;42100
Vloz;3;67100
Vymaz;2;72600
Vymaz;1;22200
Vloz;2;18000
Vloz;3;23000
DajData/NastavData;3;37600
Vloz;4;29800
DajData/NastavData;4;35900
Vloz;5;31600
Vymaz;4;22200
Vymaz;3;67100
Vymaz;2;68500
DajData/NastavData;2;34000
Vloz;3;118400
Vloz;4;23800
Vloz;5;81700
DajData/NastavData;5;28000
Vymaz;4;67700
Vloz;5;46600
DajIndex;5;59500
Vymaz;4;44500
Vloz;5;44500
DajIndex;5;59200
DajData/NastavData;5;13700
Vymaz;4;44300
Vymaz;3;13100
Vloz;4;9900
Vymaz;3;44300
Vymaz;2;43600
DajIndex;2;24500
Vymaz;1;13500
Vymaz;0;13000
Vloz;1;9400
Vymaz;0;13000
Vloz;1;9400
Vloz;2;9600
Vloz;3;44600
Vymaz;2;44000
Vloz;3;43900
Vymaz;2;13100
DajIndex;2;24800
Vloz;3;44500
Vloz;4;63500
Vloz;5;9700
Vymaz;4;14400
DajData/NastavData;4;13000
Vymaz;3;44000
Vloz;4;9600
Vymaz;3;44200
Vymaz;2;43600
Vymaz;1;43700
Vloz;2;9400
Vloz;3;44700
Vymaz;2;13000
DajData/NastavData;2;13100
DajIndex;2;24700
DajData/NastavData;2;13100
Vymaz;1;13400
Vloz;2;44400
Vloz;3;44300
Vloz;4;9500
Vymaz;3;13500
Vymaz;2;44600
Vloz;3;9500
DajData/NastavData;3;13100
Vymaz;2;13300
Vloz;3;44200
Vymaz;2;43800
Vloz;3;9400
DajData/NastavData;3;12900
Vloz;4;9200
Vloz;5;9200
Vloz;6;9100
DajIndex;6;71800
Vloz;7;44400
Vloz;8;9600
DajData/NastavData;8;13200
Vloz;9;9500
DajIndex;9;106100
DajData/NastavData;9;13200
Vloz;10;49400
DajData/NastavData;10;13100
DajIndex;10;124800
Vymaz;9;45400
Vloz;10;9700
Vloz;11;44600
Vloz;12;44500
Vloz;13;43800
DajData/NastavData;13;13000
Vloz;14;44400
Vloz;15;44400
Vymaz;14;43600
Vloz;15;44200
DajIndex;15;219300
Vloz;16;11900
DajData/NastavData;16;13200
Vymaz;15;45900
Vloz;16;9900
DajData/NastavData;16;13300
DajData/NastavData;16;13100
Vloz;17;44600
Vloz;18;44200
Vymaz;17;44300
Vymaz;16;13400
Vloz;17;44200
Vloz;18;9500
Vymaz;17;13100
DajData/NastavData;17;13200
Vloz;18;44400
Vymaz;17;13400
Vymaz;16;44000
Vymaz;15;53500
DajIndex;15;173900
Vloz;16;44600
Vloz;17;9500
Vloz;18;9200
Vymaz;17;13300
Vloz;18;9500
Vymaz;17;43900
Vloz;18;43900
Vymaz;17;43600
Vymaz;16;44000
DajData/NastavData;16;13100
Vymaz;15;44000
Vloz;16;9500
Vloz;17;44500
Vymaz;16;51200
Vymaz;15;63500
Vymaz;14;14900
Vloz;15;44400
Vymaz;14;13300
Vloz;15;9700
Vloz;16;9300
DajData/NastavData;16;13100
Vloz;17;9300
Vloz;18;44500
Vloz;19;9500
DajIndex;19;227400
Vloz;20;9600
Vloz;21;44300
Vloz;22;9400
Vloz;23;9200
Vloz;24;9100
Vymaz;23;45500
DajData/NastavData;23;13200
DajData/NastavData;23;13300
Vymaz;22;43600
Vymaz;21;13200
Vloz;22;44100
DajData/NastavData;22;13200
DajData/NastavData;22;13100
Vymaz;21;44300
DajData/NastavData;21;13400
Vymaz;20;44100
Vymaz;19;44100
DajIndex;19;219900
Vymaz;18;13300
Vymaz;17;49000
Vymaz;16;13900
Vloz;17;44400
Vymaz;16;44500
Vloz;17;9600
Vymaz;16;13400
Vymaz;15;44100
DajData/NastavData;15;13200
DajIndex;15;176000
Vymaz;14;13200
Vloz;15;44700
Vymaz;14;43900
DajData/NastavData;14;13200
DajData/NastavData;14;13200
Vloz;15;9500
Vloz;16;9300
Vymaz;15;44300
Vloz;16;14100
Vymaz;15;43900
DajIndex;15;174200
DajData/NastavData;15;13200
DajData/NastavData;15;13100
Vloz;16;9400
DajData/NastavData;16;13200
DajIndex;16;185800
Vymaz;15;44500
DajData/NastavData;15;13400
DajIndex;15;174900
DajIndex;15;254400
Vloz;16;65400
Vloz;17;66300
Vymaz;16;68400
DajData/NastavData;16;22600
Vymaz;15;63800
Vloz;16;71000
DajIndex;16;204300
Vloz;17;11700
DajData/NastavData;17;152000
Vymaz;16;45600
Vymaz;15;44000
Vloz;16;44800
Vymaz;15;44100
Vloz;16;44200
Vloz;17;9600
Vloz;18;44300
DajData/NastavData;18;14300
Vymaz;17;109700
Vymaz;16;30500
DajData/NastavData;16;23000
DajIndex;16;185800
Vloz;17;9900
DajData/NastavData;17;13100
Vloz;18;9400
Vymaz;17;13900
DajIndex;17;198100
DajData/NastavData;17;13100
Vloz;18;44900
DajIndex;18;210200
Vymaz;17;13500
DajIndex;17;198000
DajData/NastavData;17;12900
DajIndex;17;199500
DajData/NastavData;17;13300
Vloz;18;44200
Vymaz;17;44300
DajData/NastavData;17;13300
DajIndex;17;205200
Vymaz;16;44100
Vloz;17;44100
Vloz;18;44100
Vloz;19;9700
Vloz;20;44000
Vloz;21;44300
Vloz;22;44500
Vloz;23;43900
Vymaz;22;44100
DajData/NastavData;22;13100
Vymaz;21;13400
Vloz;22;44200
DajData/NastavData;22;13000
DajIndex;22;263300
Vymaz;21;44700
Vymaz;20;43700
DajData/NastavData;20;13100
Vymaz;19;44000
Vloz;20;44400
Vloz;21;9400
Vymaz;20;13400
DajData/NastavData;20;13300
Vymaz;19;13500
Vymaz;18;43900
Vymaz;17;13100
DajData/NastavData;17;13000
DajData/NastavData;17;13000
DajData/NastavData;17;13100
Vymaz;16;44300
Vymaz;15;44600
Vloz;16;44600
DajData/NastavData;16;13200
Vloz;17;43800
Vloz;18;44100
Vloz;19;44100
DajIndex;19;220300
DajData/NastavData;19;12900
Vymaz;18;44200
DajIndex;18;208400
DajData/NastavData;18;26700
Vymaz;17;13900
Vloz;18;44400
DajIndex;18;210100
Vymaz;17;44000
DajIndex;17;198000
DajIndex;17;196900
Vymaz;16;13200
Vymaz;15;54000
Vymaz;14;13400
Vloz;15;44400
Vloz;16;43600
Vloz;17;9700
Vloz;18;44200
DajIndex;18;214900
Vymaz;17;44100
Vymaz;16;13200
Vloz;17;43700
Vloz;18;9400
DajData/NastavData;18;13000
DajIndex;18;226200
Vymaz;17;44800
DajData/NastavData;17;13100
Vymaz;16;44100
Vymaz;15;43500
Vymaz;14;43900
Vymaz;13;43800
Vymaz;12;44100
Vymaz;11;13200
Vloz;12;44400
Vloz;13;44200
Vymaz;12;43800
DajData/NastavData;12;13200
DajIndex;12;141100
Vymaz;11;44400
Vymaz;10;13300
Vloz;11;44500
DajIndex;11;128500
Vloz;12;44800
DajData/NastavData;12;13000
Vloz;13;44100
Vloz;14;9600
Vymaz;13;13200
Vymaz;12;43900
Vymaz;11;44100
Vymaz;10;13200
Vymaz;9;43900
Vloz;10;9800
Vloz;11;44100
Vloz;12;10100
Vloz;13;44500
Vymaz;12;44000
Vloz;13;44200
DajIndex;13;152700
DajData/NastavData;13;13200
DajData/NastavData;13;13400
Vloz;14;44300
Vloz;15;44200
Vymaz;14;44200
DajIndex;14;162500
Vymaz;13;44500
Vymaz;12;56800
DajIndex;12;266700
DajIndex;12;188800
DajData/NastavData;12;13300
Vymaz;11;13500
Vymaz;10;44500
DajIndex;10;116600
Vymaz;9;13300
DajIndex;9;107700
Vymaz;8;43900
Vymaz;7;43700
DajData/NastavData;7;13000
Vloz;8;9800
DajData/NastavData;8;12900
DajData/NastavData;8;13000
Vymaz;7;43700
Vymaz;6;13200
Vloz;7;9500
Vloz;8;44400
DajData/NastavData;8;13200
DajIndex;8;94100
Vloz;9;44400
Vymaz;8;44000
Vymaz;7;44100
Vymaz;6;43500
Vymaz;5;45200
DajIndex;5;59300
DajIndex;5;59000
Vymaz;4;43800
Vloz;5;44300
Vymaz;4;43700
Vymaz;3;13000
DajIndex;3;36100
DajIndex;3;36200
Vloz;4;44000
Vloz;5;9600
Vloz;6;9200
Vymaz;5;13300
Vymaz;4;13300
Vymaz;3;43200
Vloz;4;43700
DajData/NastavData;4;13000
Vloz;5;9300
Vloz;6;44700
Vloz;7;9200
Vymaz;6;44100
Vymaz;5;43700
Vloz;6;9400
Vloz;7;9400
Vloz;8;9300
Vloz;9;9300
Vloz;10;44300
Vloz;11;48300
Vloz;12;44100
Vloz;13;43800
DajData/NastavData;13;13100
Vloz;14;43900
Vloz;15;9400
DajData/NastavData;15;13100
Vymaz;14;44400
DajData/NastavData;14;13100
Vymaz;13;13300
Vloz;14;45600
Vymaz;13;13100
Vloz;14;44300
Vloz;15;44000
Vymaz;14;44100
Vloz;15;9500
Vymaz;14;44000
Vymaz;13;13300
Vymaz;12;13300
Vymaz;11;12900
Vloz;12;43800
Vloz;13;43600
Vymaz;12;43700
Vloz;13;9400
DajData/NastavData;13;14100
Vymaz;12;54700
Vymaz;11;15400
Vloz;12;46500
DajData/NastavData;12;13200
DajData/NastavData;12;13400
DajData/NastavData;12;13200
Vloz;13;9500
DajIndex;13;263800
Vymaz;12;16000
Vymaz;11;13600
Vloz;12;49800
DajData/NastavData;12;13100
DajData/NastavData;12;13300
DajData/NastavData;12;13000
Vymaz;11;44900
Vymaz;10;44100
Vymaz;9;52100
Vymaz;8;44300
Vymaz;7;43800
Vymaz;6;47900
Vymaz;5;44400
DajData/NastavData;5;13300
Vymaz;4;44100
Vloz;5;9900
Vymaz;4;45000
DajIndex;4;47900
DajData/NastavData;4;13300
Vymaz;3;13700
DajIndex;3;36900
DajIndex;3;36500
Vloz;4;44300
Vymaz;3;44500
Vloz;4;52100
Vloz;5;9900
Vymaz;4;44100
Vymaz;3;13300
DajData/NastavData;3;13000
DajData/NastavData;3;13000
Vymaz;2;13400
DajData/NastavData;2;13000
Vymaz;1;13000
DajData/NastavData;1;13000
Vloz;2;9600
DajIndex;2;24900
Vloz;3;44200
Vymaz;2;44400
Vymaz;1;13400
DajData/NastavData;1;13000
DajIndex;1;13100
Vymaz;0;13100
Vloz;1;9600
Vloz;2;9300
Vymaz;1;13500
Vloz;2;9500
DajData/NastavData;2;13200
Vymaz;1;14300
Vloz;2;44100
Vloz;3;9500
Vloz;4;44500
Vloz;5;9500
Vymaz;4;44500
DajIndex;4;47500
DajData/NastavData;4;13000
DajData/NastavData;4;13100
DajIndex;4;48000
Vloz;5;9700
Vloz;6;9400
Vloz;7;44500
Vymaz;6;13200
Vloz;7;9500
Vymaz;6;44100
Vloz;7;43800
Vloz;8;44000
Vloz;9;49400
Vloz;10;9500
DajIndex;10;118000
Vloz;11;9500
Vloz;12;9400
Vymaz;11;44100
DajData/NastavData;11;13100
Vymaz;10;44200
Vloz;11;43900
DajData/NastavData;11;13100
Vloz;12;9500
Vymaz;11;13400
Vloz;12;9300
Vymaz;11;44300
DajData/NastavData;11;13100
Vloz;12;9400
Vloz;13;44400
DajData/NastavData;13;13200
Vloz;14;9200
DajIndex;14;172100
DajIndex;14;162200
Vloz;15;44300
DajIndex;15;174300
Vloz;16;44500
Vloz;17;44300
Vymaz;16;43700
DajData/NastavData;16;13300
DajIndex;16;200300
Vloz;17;44400
Vloz;18;44600
Vymaz;17;13400
Vymaz;16;44000
Vloz;17;44000
Vloz;18;48200
Vloz;19;44200
Vymaz;18;44300
Vymaz;17;13500
DajIndex;17;198400
Vloz;18;44600
DajData/NastavData;18;12800
Vymaz;17;67500
Vymaz;16;44500
Vloz;17;44100
DajData/NastavData;17;13100
Vloz;18;43900
Vymaz;17;44300
DajData/NastavData;17;13200
Vloz;18;9600
DajIndex;18;208800
Vloz;19;44300
Vloz;20;9500
Vymaz;19;13100
