Operacia;PocetPrvkov;TrvanieOperacie
Vymaz;0;21900
Vloz;1;14600
Vymaz;0;21600
Vloz;1;13800
Vymaz;0;20400
Vloz;1;15700
DajData/NastavData;1;19700
Vloz;2;14000
Vymaz;1;72900
Vloz;2;65500
Vymaz;1;68300
Vloz;2;69400
Vloz;3;10100
DajData/NastavData;3;13100
Vloz;4;45000
Vymaz;3;23600
DajIndex;3;53100
Vymaz;2;21100
Vloz;3;71900
Vymaz;2;46000
Vymaz;1;44700
DajData/NastavData;1;13200
Vloz;2;44800
Vloz;3;44400
Vymaz;2;44000
Vloz;3;44400
Vymaz;2;43600
Vymaz;1;44300
Vloz;2;9800
Vymaz;1;54700
Vymaz;0;20700
Vloz;1;16000
Vymaz;0;22700
Vloz;1;16200
Vymaz;0;101100
Vloz;1;22300
Vymaz;0;45900
Vloz;1;24300
Vloz;2;124700
Vymaz;1;120400
Vloz;2;138000
Vloz;3;76300
DajData/NastavData;3;23100
Vloz;4;16800
Vymaz;3;72100
Vymaz;2;23400
Vymaz;1;28300
Vloz;2;88100
Vloz;3;59300
Vymaz;2;13900
Vloz;3;45300
Vymaz;2;43900
Vloz;3;45000
Vloz;4;9700
Vloz;5;44400
Vloz;6;44200
Vloz;7;45000
Vloz;8;44900
Vymaz;7;44200
Vloz;8;9800
Vymaz;7;44000
Vymaz;6;14100
Vloz;7;9400
Vymaz;6;52500
Vymaz;5;45100
Vymaz;4;13400
Vloz;5;45100
DajData/NastavData;5;13900
Vloz;6;44500
DajData/NastavData;6;13000
Vloz;7;44400
Vloz;8;44900
Vloz;9;9700
Vloz;10;44600
Vymaz;9;44500
Vymaz;8;44700
DajIndex;8;169100
Vymaz;7;108500
Vloz;8;113400
Vloz;9;117600
Vloz;10;24600
Vymaz;9;80500
Vloz;10;20100
Vymaz;9;49900
Vymaz;8;56100
Vloz;9;10500
Vymaz;8;44500
Vymaz;7;44600
Vymaz;6;13300
Vloz;7;9700
Vloz;8;81800
Vymaz;7;71200
Vymaz;6;65000
Vymaz;5;20700
Vymaz;4;67000
Vymaz;3;20800
Vloz;4;14900
Vloz;5;70700
Vymaz;4;82100
Vloz;5;62200
Vymaz;4;31600
Vloz;5;54200
Vloz;6;19600
Vymaz;5;19600
Vloz;6;13700
Vymaz;5;44900
Vymaz;4;45000
Vloz;5;10200
Vloz;6;44600
Vloz;7;9500
Vloz;8;45100
DajIndex;8;97900
Vloz;9;64800
Vloz;10;44700
DajData/NastavData;10;13300
Vymaz;9;44900
Vloz;10;9900
Vymaz;9;44500
Vloz;10;11500
Vymaz;9;75300
Vloz;10;68900
Vymaz;9;24200
Vloz;10;101700
Vloz;11;17500
Vymaz;10;71500
Vymaz;9;72600
Vymaz;8;22800
Vymaz;7;79100
DajData/NastavData;7;23300
Vloz;8;87600
Vloz;9;21000
Vymaz;8;106700
Vymaz;7;23000
Vloz;8;70100
Vymaz;7;22400
Vloz;8;72800
DajData/NastavData;8;21800
Vymaz;7;22900
Vloz;8;10500
Vloz;9;9300
Vloz;10;9200
Vloz;11;44900
Vloz;12;9600
Vloz;13;44000
Vloz;14;9600
Vloz;15;59100
Vloz;16;44400
Vloz;17;46000
Vymaz;16;60300
Vymaz;15;113600
Vymaz;14;114300
Vymaz;13;55100
Vymaz;12;71500
Vymaz;11;36500
Vymaz;10;122600
Vymaz;9;129600
Vloz;10;145100
Vymaz;9;112700
Vloz;10;145800
Vymaz;9;86200
Vloz;10;18600
Vloz;11;85000
Vloz;12;88000
DajData/NastavData;12;24500
DajData/NastavData;12;28400
Vloz;13;83000
Vloz;14;82600
Vloz;15;77900
Vymaz;14;86900
Vymaz;13;86500
Vloz;14;16400
Vloz;15;23300
Vloz;16;15600
DajIndex;16;373800
Vymaz;15;22700
Vloz;16;16400
Vloz;17;21700
Vymaz;16;21900
DajData/NastavData;16;32500
Vloz;17;15400
Vymaz;16;84000
Vloz;17;99300
Vymaz;16;74800
Vloz;17;92200
Vymaz;16;96000
Vloz;17;74900
DajIndex;17;382700
Vymaz;16;74200
DajData/NastavData;16;25600
Vymaz;15;97600
Vymaz;14;27100
DajData/NastavData;14;21900
Vloz;15;96200
Vymaz;14;77600
DajIndex;14;299200
Vloz;15;90200
Vloz;16;41400
Vymaz;15;75100
Vymaz;14;82900
Vymaz;13;74000
Vymaz;12;22300
Vymaz;11;33100
Vloz;12;91700
Vymaz;11;30000
Vymaz;10;74800
Vloz;11;80100
Vloz;12;78300
Vymaz;11;33600
Vloz;12;74500
Vloz;13;74900
Vloz;14;15600
Vymaz;13;92400
Vloz;14;85700
Vymaz;13;31200
Vymaz;12;21300
Vloz;13;18800
Vymaz;12;74700
Vymaz;11;74500
Vymaz;10;22700
DajData/NastavData;10;32000
Vymaz;9;26200
Vloz;10;18900
Vymaz;9;24800
DajData/NastavData;9;26700
Vymaz;8;79300
Vloz;9;76000
Vymaz;8;22800
DajData/NastavData;8;30700
Vymaz;7;33100
Vloz;8;75300
Vloz;9;30100
Vymaz;8;16600
Vloz;9;9900
Vloz;10;21400
Vymaz;9;46300
Vloz;10;9900
Vymaz;9;44700
Vymaz;8;44300
Vloz;9;44200
Vymaz;8;13100
Vymaz;7;22900
DajData/NastavData;7;13800
Vloz;8;9700
Vymaz;7;13500
Vymaz;6;44200
Vymaz;5;44400
Vloz;6;52500
Vloz;7;45300
Vloz;8;15000
Vloz;9;9600
Vloz;10;14100
Vloz;11;14900
Vloz;12;16000
Vloz;13;72100
Vloz;14;70000
Vymaz;13;38900
Vloz;14;89500
DajIndex;14;262200
Vymaz;13;69300
Vymaz;12;65700
Vloz;13;137100
Vloz;14;112300
Vymaz;13;107100
Vymaz;12;124300
Vloz;13;105800
Vymaz;12;126900
Vloz;13;23200
Vloz;14;99300
Vymaz;13;110700
Vymaz;12;85300
Vymaz;11;80200
Vymaz;10;119500
Vloz;11;151200
Vloz;12;33200
Vloz;13;122400
Vloz;14;148000
Vymaz;13;39000
Vloz;14;91300
DajIndex;14;283500
Vymaz;13;72700
Vymaz;12;21800
Vloz;13;73200
Vymaz;12;19600
Vloz;13;63000
Vymaz;12;66600
Vymaz;11;73600
Vloz;12;112800
DajIndex;12;302600
Vymaz;11;136500
Vymaz;10;81300
Vloz;11;110100
Vymaz;10;33500
Vloz;11;141300
Vymaz;10;112000
Vymaz;9;77500
DajIndex;9;267500
Vloz;10;25200
Vloz;11;24100
Vymaz;10;119100
Vloz;11;93300
Vloz;12;114200
Vloz;13;105200
Vymaz;12;101800
Vymaz;11;122400
Vymaz;10;101800
Vloz;11;25200
Vloz;12;32500
Vymaz;11;41800
Vymaz;10;107600
Vloz;11;79400
Vymaz;10;35400
Vymaz;9;31100
Vymaz;8;30200
Vloz;9;125500
Vloz;10;114200
Vloz;11;93100
Vloz;12;31600
Vloz;13;133300
Vymaz;12;31500
Vloz;13;119800
Vymaz;12;120000
Vloz;13;118500
Vloz;14;119200
Vymaz;13;36600
Vymaz;12;36300
Vloz;13;121600
Vymaz;12;118800
Vloz;13;25600
DajIndex;13;441900
Vloz;14;122800
Vloz;15;121800
Vloz;16;29200
Vloz;17;15000
DajIndex;17;343400
Vloz;18;45200
Vloz;19;9800
Vloz;20;44400
Vloz;21;44000
Vloz;22;44800
Vymaz;21;13700
DajIndex;21;350600
Vymaz;20;114300
DajData/NastavData;20;15600
Vloz;21;45000
Vymaz;20;45100
Vloz;21;9700
Vloz;22;44500
Vloz;23;9400
Vymaz;22;44100
Vymaz;21;44900
Vloz;22;9600
Vymaz;21;43800
Vloz;22;45000
Vymaz;21;44900
Vloz;22;44500
Vloz;23;9600
Vymaz;22;44700
Vloz;23;9500
DajIndex;23;287100
Vymaz;22;13500
Vloz;23;44600
Vymaz;22;44300
Vymaz;21;44400
Vloz;22;44900
Vloz;23;10300
Vloz;24;9400
Vymaz;23;13600
Vymaz;22;44200
Vloz;23;44800
Vymaz;22;13600
Vloz;23;44800
Vymaz;22;64800
Vloz;23;12800
Vymaz;22;44700
Vloz;23;44300
Vloz;24;44200
Vymaz;23;13300
DajData/NastavData;23;13000
Vymaz;22;44100
Vloz;23;9600
Vloz;24;44100
Vymaz;23;45200
Vymaz;22;13500
Vloz;23;55000
Vymaz;22;21600
Vloz;23;19100
Vymaz;22;21100
Vymaz;21;65700
DajIndex;21;490900
Vymaz;20;102600
Vloz;21;48600
Vymaz;20;14100
Vloz;21;45000
DajIndex;21;380900
Vymaz;20;13800
Vymaz;19;45000
Vymaz;18;44300
Vymaz;17;46900
Vymaz;16;44100
DajData/NastavData;16;13200
DajIndex;16;186900
Vymaz;15;44200
Vloz;16;10000
Vloz;17;9400
Vloz;18;9400
Vymaz;17;45000
Vymaz;16;13600
Vymaz;15;44700
Vloz;16;45500
Vloz;17;43900
Vymaz;16;44000
DajData/NastavData;16;13700
Vymaz;15;46400
Vloz;16;9600
Vymaz;15;13300
Vymaz;14;44600
Vymaz;13;44200
Vloz;14;9600
Vymaz;13;13400
Vymaz;12;13800
Vloz;13;9500
Vymaz;12;13400
DajIndex;12;162300
Vymaz;11;44400
Vloz;12;44600
DajData/NastavData;12;13100
DajData/NastavData;12;13000
DajIndex;12;145200
Vloz;13;45300
Vloz;14;44900
Vymaz;13;13500
Vymaz;12;13200
Vloz;13;44000
Vymaz;12;13300
Vymaz;11;43900
DajIndex;11;130000
Vymaz;10;95300
Vloz;11;45700
Vymaz;10;44700
Vymaz;9;44200
Vymaz;8;51900
Vloz;9;44700
Vloz;10;44400
Vymaz;9;45200
Vymaz;8;44700
Vloz;9;50500
Vloz;10;46200
Vloz;11;44700
Vloz;12;9800
Vymaz;11;13600
Vloz;12;45300
Vymaz;11;44800
DajData/NastavData;11;13200
DajData/NastavData;11;13100
Vloz;12;9500
Vloz;13;9100
Vloz;14;44400
Vloz;15;49500
Vloz;16;44500
Vymaz;15;43900
Vymaz;14;43900
Vloz;15;44100
DajData/NastavData;15;13400
Vloz;16;44700
DajIndex;16;191000
Vloz;17;44500
Vloz;18;9300
Vymaz;17;44500
Vloz;18;9500
Vymaz;17;13100
DajIndex;17;220100
Vymaz;16;79800
Vymaz;15;45100
Vymaz;14;45300
DajIndex;14;186900
Vymaz;13;45300
Vymaz;12;44300
Vymaz;11;43700
Vymaz;10;43600
Vymaz;9;13300
Vymaz;8;63200
Vymaz;7;24000
Vloz;8;71200
Vymaz;7;72300
Vloz;8;25200
Vloz;9;153800
DajIndex;9;310000
Vloz;10;24400
Vymaz;9;74100
Vloz;10;76000
Vymaz;9;121900
Vloz;10;15600
Vymaz;9;82900
Vloz;10;69400
Vloz;11;95300
Vymaz;10;25800
Vymaz;9;20300
DajData/NastavData;9;21700
Vloz;10;97000
DajIndex;10;204100
Vymaz;9;20900
DajIndex;9;154600
DajIndex;9;163200
Vymaz;8;68000
Vloz;9;159300
Vymaz;8;25800
Vymaz;7;33600
Vymaz;6;71600
Vloz;7;73500
Vloz;8;88600
Vloz;9;146100
Vymaz;8;26100
Vloz;9;132000
Vymaz;8;47900
Vymaz;7;69500
Vloz;8;185700
Vloz;9;87100
Vymaz;8;20700
Vloz;9;31900
Vymaz;8;100700
Vymaz;7;158200
Vymaz;6;122000
Vymaz;5;109400
Vloz;6;15300
Vloz;7;14700
Vymaz;6;21900
Vymaz;5;70400
Vloz;6;70200
Vloz;7;14700
Vymaz;6;70100
Vymaz;5;70900
Vymaz;4;21300
Vymaz;3;70100
Vymaz;2;66500
Vloz;3;70000
Vloz;4;15200
Vymaz;3;21100
Vloz;4;82200
Vymaz;3;16800
Vymaz;2;13700
Vloz;3;9800
DajIndex;3;37200
Vymaz;2;13100
Vymaz;1;54400
Vloz;2;9800
Vymaz;1;13200
Vymaz;0;13300
Vloz;1;9800
Vymaz;0;13100
Vloz;1;9700
Vloz;2;63000
Vymaz;1;20100
Vloz;2;74700
Vloz;3;15200
Vloz;4;65800
Vymaz;3;21400
DajData/NastavData;3;20800
DajIndex;3;58400
Vloz;4;73400
Vymaz;3;20500
Vymaz;2;72000
Vloz;3;98700
Vymaz;2;141800
Vymaz;1;18400
Vloz;2;50200
Vloz;3;44500
Vymaz;2;13400
Vymaz;1;45200
Vymaz;0;13100
Vloz;1;9600
Vloz;2;44500
Vloz;3;43900
Vymaz;2;13600
Vymaz;1;13000
Vymaz;0;13200
Vloz;1;9500
Vymaz;0;13100
Vloz;1;9700
Vloz;2;44600
Vymaz;1;13200
DajIndex;1;13400
DajIndex;1;13300
Vloz;2;44300
Vloz;3;44400
Vloz;4;46500
Vloz;5;9700
DajData/NastavData;5;13300
Vloz;6;9400
Vloz;7;9300
Vloz;8;9300
Vloz;9;44300
Vymaz;8;43900
DajData/NastavData;8;13200
Vymaz;7;13500
Vloz;8;44400
DajData/NastavData;8;13200
Vymaz;7;44300
Vymaz;6;44300
Vloz;7;45000
Vymaz;6;13500
Vloz;7;44200
Vymaz;6;44200
Vymaz;5;51800
Vloz;6;10200
Vloz;7;44100
Vloz;8;9500
Vymaz;7;44500
Vymaz;6;44400
Vloz;7;9500
Vloz;8;43800
Vloz;9;44200
DajData/NastavData;9;13100
DajIndex;9;106300
DajData/NastavData;9;13200
Vymaz;8;44500
Vymaz;7;43900
Vymaz;6;43600
Vymaz;5;13300
Vloz;6;9600
Vloz;7;9500
Vloz;8;44500
Vloz;9;43900
Vymaz;8;43700
DajIndex;8;124700
Vymaz;7;44400
Vymaz;6;13500
Vymaz;5;13100
Vymaz;4;43800
Vymaz;3;44200
Vloz;4;9600
Vymaz;3;44000
Vloz;4;44100
Vymaz;3;43900
Vymaz;2;43700
Vymaz;1;13200
Vymaz;0;13200
Vloz;1;9700
Vloz;2;9400
Vymaz;1;15000
Vymaz;0;13400
Vloz;1;9800
Vymaz;0;13400
Vloz;1;9500
Vloz;2;44200
Vloz;3;9400
Vloz;4;9500
Vloz;5;44600
Vloz;6;9400
Vloz;7;44100
DajIndex;7;82500
DajData/NastavData;7;13400
Vymaz;6;44000
Vymaz;5;13300
Vloz;6;9600
Vloz;7;46000
Vymaz;6;13700
Vloz;7;44600
Vloz;8;43900
Vloz;9;43900
Vymaz;8;13400
Vymaz;7;43800
Vloz;8;44400
Vymaz;7;44200
Vymaz;6;43900
Vloz;7;9600
Vloz;8;44100
Vloz;9;47600
Vymaz;8;13400
Vloz;9;9600
Vymaz;8;13300
Vloz;9;9600
Vloz;10;9500
Vymaz;9;13400
Vloz;10;46100
DajIndex;10;116600
DajIndex;10;117900
Vymaz;9;43700
Vloz;10;9500
Vloz;11;44000
Vloz;12;9600
Vymaz;11;13500
Vymaz;10;44400
Vloz;11;43900
Vloz;12;9600
Vymaz;11;13300
Vloz;12;9400
Vymaz;11;44000
Vloz;12;43900
Vymaz;11;57500
Vymaz;10;44600
DajIndex;10;116700
DajData/NastavData;10;13200
DajData/NastavData;10;13000
Vymaz;9;43700
Vloz;10;44600
Vloz;11;96600
Vloz;12;79400
DajIndex;12;149100
Vymaz;11;44200
Vymaz;10;13600
Vloz;11;44500
Vymaz;10;13300
Vloz;11;44200
Vloz;12;44300
Vloz;13;44500
Vloz;14;9600
Vymaz;13;44400
Vloz;14;44300
Vymaz;13;44000
Vloz;14;44400
Vloz;15;44100
Vloz;16;44000
Vymaz;15;44400
Vloz;16;44200
Vloz;17;44100
Vloz;18;44000
Vloz;19;9500
Vymaz;18;44500
DajData/NastavData;18;13100
Vloz;19;9400
Vloz;20;44500
Vloz;21;9400
DajIndex;21;308700
Vloz;22;10100
Vymaz;21;44400
Vloz;22;9600
Vymaz;21;44700
Vloz;22;44200
Vloz;23;11300
Vloz;24;9300
Vloz;25;44500
Vloz;26;44100
Vymaz;25;44000
Vloz;26;44100
Vymaz;25;13500
Vloz;26;9600
Vymaz;25;44100
Vloz;26;44000
Vymaz;25;44000
Vloz;26;9600
Vloz;27;9300
Vloz;28;44500
Vymaz;27;43900
Vloz;28;9600
Vloz;29;44400
Vymaz;28;13300
Vymaz;27;45900
Vloz;28;44200
Vloz;29;9500
Vymaz;28;13700
DajIndex;28;326200
Vymaz;27;44100
Vymaz;26;43500
Vymaz;25;13300
Vymaz;24;44100
Vloz;25;44200
Vymaz;24;43800
DajIndex;24;280700
Vymaz;23;43700
Vloz;24;9600
Vymaz;23;13100
Vymaz;22;13100
Vymaz;21;44300
Vymaz;20;43600
DajData/NastavData;20;13200
Vymaz;19;13200
Vymaz;18;13300
Vloz;19;9700
Vloz;20;44400
Vymaz;19;13400
Vloz;20;44500
Vloz;21;48400
Vymaz;20;43900
Vloz;21;48000
Vloz;22;44200
Vymaz;21;44000
DajIndex;21;244700
Vloz;22;44800
Vymaz;21;13300
Vloz;22;44500
Vloz;23;43800
Vymaz;22;43900
Vymaz;21;13400
DajData/NastavData;21;13000
Vymaz;20;13300
Vloz;21;44800
Vloz;22;43900
Vloz;23;44000
Vloz;24;43900
DajIndex;24;277300
Vymaz;23;44500
Vloz;24;44400
Vloz;25;43800
Vymaz;24;13400
DajIndex;24;280900
Vloz;25;10300
Vloz;26;59100
Vloz;27;71200
Vymaz;26;76500
Vymaz;25;45200
Vymaz;24;79400
Vloz;25;15500
Vloz;26;95500
Vloz;27;15000
Vymaz;26;95400
Vloz;27;20400
Vymaz;26;51200
Vloz;27;68800
Vloz;28;10300
DajIndex;28;640700
DajData/NastavData;28;21600
Vymaz;27;23400
Vloz;28;16800
Vymaz;27;149700
Vloz;28;22700
Vloz;29;26700
Vymaz;28;33500
Vloz;29;136900
Vymaz;28;16100
Vymaz;27;13300
Vymaz;26;45600
Vloz;27;66700
Vymaz;26;45800
Vloz;27;44800
Vymaz;26;57500
Vymaz;25;68300
Vymaz;24;45500
Vloz;25;44900
Vymaz;24;14100
Vymaz;23;43900
Vloz;24;44200
Vloz;25;9700
Vloz;26;9400
Vloz;27;44400
Vloz;28;9400
Vymaz;27;13300
Vloz;28;44500
Vloz;29;44100
Vloz;30;44100
Vymaz;29;44100
Vloz;30;9500
Vymaz;29;44200
Vloz;30;9400
Vloz;31;44100
Vymaz;30;44300
Vloz;31;44400
Vloz;32;99300
Vloz;33;89400
DajData/NastavData;33;19300
Vymaz;32;18600
Vymaz;31;68000
Vymaz;30;14000
Vloz;31;44700
Vloz;32;43900
Vloz;33;9700
DajIndex;33;384600
Vloz;34;44100
DajData/NastavData;34;13000
Vymaz;33;43700
Vloz;34;9700
Vymaz;33;44200
Vloz;34;9500
Vloz;35;44000
Vloz;36;44200
DajIndex;36;417100
Vymaz;35;13400
Vloz;36;9700
Vymaz;35;43800
Vloz;36;44200
Vymaz;35;43800
Vloz;36;44500
Vloz;37;44500
Vymaz;36;13400
Vloz;37;9400
DajData/NastavData;37;13100
Vymaz;36;44200
Vymaz;35;13200
Vymaz;34;43800
Vymaz;33;13300
Vloz;34;43900
Vloz;35;44000
Vymaz;34;43900
Vloz;35;9500
Vymaz;34;13500
DajData/NastavData;34;13300
Vloz;35;44100
Vymaz;34;43900
Vloz;35;44300
Vloz;36;48200
Vymaz;35;43600
Vloz;36;43500
Vymaz;35;44000
Vymaz;34;93300
Vloz;35;9800
Vymaz;34;74600
Vloz;35;11600
Vymaz;34;44800
Vloz;35;9700
Vloz;36;9500
Vymaz;35;13600
Vloz;36;44200
Vymaz;35;44200
Vymaz;34;13300
Vymaz;33;13400
Vloz;34;44600
Vymaz;33;43900
DajIndex;33;385200
Vymaz;32;13200
Vloz;33;9700
Vloz;34;44500
Vymaz;33;62300
Vymaz;32;44600
Vymaz;31;13200
Vloz;32;9700
DajIndex;32;373200
Vymaz;31;44000
Vloz;32;44200
Vymaz;31;13300
Vloz;32;44100
Vymaz;31;13400
Vloz;32;44100
Vymaz;31;45600
Vymaz;30;43500
Vymaz;29;43500
Vloz;30;44000
Vloz;31;44000
DajData/NastavData;31;13100
Vloz;32;9500
Vymaz;31;44400
Vloz;32;43800
Vloz;33;9600
Vymaz;32;43700
Vloz;33;9600
Vymaz;32;13200
Vloz;33;9400
Vloz;34;44200
Vloz;35;47900
Vloz;36;44200
Vloz;37;9400
Vymaz;36;13500
Vloz;37;15000
DajData/NastavData;37;24500
Vymaz;36;21600
Vymaz;35;20500
Vymaz;34;70000
Vymaz;33;62900
Vloz;34;72300
Vloz;35;14700
Vymaz;34;72600
Vloz;35;74200
Vloz;36;80200
Vymaz;35;71700
Vymaz;34;64200
Vloz;35;67000
Vloz;36;76600
Vymaz;35;72100
Vloz;36;75400
DajIndex;36;675300
Vymaz;35;78100
Vymaz;34;23000
Vymaz;33;64500
Vloz;34;69200
Vloz;35;79800
Vloz;36;72500
DajData/NastavData;36;23200
Vloz;37;18400
Vymaz;36;20500
Vloz;37;66400
Vymaz;36;72500
Vymaz;35;71100
Vloz;36;70300
Vloz;37;70500
Vloz;38;73200
Vloz;39;68100
Vloz;40;15700
Vymaz;39;21300
Vymaz;38;21600
Vymaz;37;82500
DajIndex;37;746900
DajData/NastavData;37;27600
Vloz;38;15400
Vloz;39;73800
Vymaz;38;101200
Vloz;39;50700
Vymaz;38;46400
Vloz;39;56600
Vloz;40;44800
DajIndex;40;465900
Vymaz;39;71400
DajIndex;39;487200
Vloz;40;50900
Vloz;41;10200
Vloz;42;9700
Vymaz;41;46600
Vloz;42;9700
Vloz;43;9200
Vloz;44;44300
Vymaz;43;13500
Vloz;44;44400
Vloz;45;9500
Vloz;46;47400
Vloz;47;10500
Vloz;48;48800
Vymaz;47;46900
Vymaz;46;95400
Vloz;47;46000
Vloz;48;44100
Vloz;49;9700
DajData/NastavData;49;13100
Vloz;50;48200
Vymaz;49;44000
Vymaz;48;43700
Vloz;49;9500
Vymaz;48;44300
Vymaz;47;44300
Vymaz;46;13300
Vymaz;45;44400
Vloz;46;15000
Vloz;47;9500
Vymaz;46;44100
Vloz;47;44300
Vymaz;46;43700
Vymaz;45;44200
Vymaz;44;43900
Vymaz;43;13500
Vymaz;42;13400
Vymaz;41;13400
Vymaz;40;43700
Vymaz;39;44000
Vloz;40;44300
Vymaz;39;44600
Vymaz;38;13200
Vloz;39;9700
Vymaz;38;44200
Vymaz;37;13400
Vymaz;36;41400
Vloz;37;45100
Vloz;38;9600
Vloz;39;44500
Vloz;40;44400
Vloz;41;50400
Vymaz;40;44400
Vloz;41;44100
Vloz;42;43500
Vloz;43;44300
Vymaz;42;44200
Vloz;43;45100
Vymaz;42;46700
DajIndex;42;755100
Vymaz;41;73400
Vloz;42;74000
Vloz;43;78000
Vloz;44;14200
DajData/NastavData;44;21500
Vloz;45;74800
Vymaz;44;22500
Vloz;45;74500
Vymaz;44;22200
Vymaz;43;74300
Vloz;44;75300
Vloz;45;16000
Vymaz;44;78100
Vloz;45;102200
Vloz;46;63300
Vymaz;45;66100
Vloz;46;72800
Vloz;47;75200
DajData/NastavData;47;19500
Vloz;48;69900
Vloz;49;16000
Vymaz;48;73500
Vloz;49;80400
Vloz;50;16000
Vloz;51;85700
Vloz;52;70500
Vloz;53;16100
Vymaz;52;23500
Vloz;53;16000
Vloz;54;76600
Vymaz;53;73200
Vloz;54;79400
Vloz;55;79500
Vymaz;54;22800
Vloz;55;16000
Vymaz;54;74200
Vloz;55;67100
Vymaz;54;64200
Vloz;55;65600
Vloz;56;70100
Vloz;57;67300
DajData/NastavData;57;24800
Vymaz;56;78900
Vloz;57;75400
DajIndex;57;962400
DajData/NastavData;57;13400
Vloz;58;9900
Vloz;59;45200
Vymaz;58;44400
Vymaz;57;43900
Vymaz;56;43600
Vymaz;55;43700
Vymaz;54;44000
Vloz;55;9600
Vloz;56;44900
Vymaz;55;43600
Vymaz;54;44000
Vymaz;53;44000
Vymaz;52;49400
DajData/NastavData;52;13600
Vymaz;51;44300
Vymaz;50;43400
Vloz;51;44000
Vymaz;50;43700
Vymaz;49;14000
Vymaz;48;13300
Vymaz;47;43900
Vloz;48;44100
Vymaz;47;44000
Vymaz;46;44200
Vloz;47;44100
Vymaz;46;13500
Vymaz;45;50100
Vymaz;44;44400
Vloz;45;49800
Vloz;46;9800
Vymaz;45;44200
Vymaz;44;13500
Vymaz;43;44100
DajIndex;43;497000
Vymaz;42;44300
Vloz;43;9600
Vloz;44;44400
Vymaz;43;13400
Vymaz;42;44500
Vymaz;41;43700
Vloz;42;44000
Vymaz;41;13800
Vloz;42;44200
Vloz;43;44000
Vloz;44;43900
Vymaz;43;13300
Vymaz;42;13200
Vymaz;41;43700
DajData/NastavData;41;13200
Vloz;42;9700
Vymaz;41;13600
Vymaz;40;43900
Vymaz;39;13200
Vloz;40;44800
Vymaz;39;13500
Vloz;40;54300
Vymaz;39;15400
Vymaz;38;44600
Vymaz;37;13400
Vymaz;36;43700
DajIndex;36;514300
Vymaz;35;48300
Vymaz;34;44100
Vloz;35;14300
Vloz;36;46300
Vymaz;35;50600
Vymaz;34;20200
Vymaz;33;61500
Vloz;34;64400
Vymaz;33;73400
Vymaz;32;110600
Vloz;33;133500
Vymaz;32;75800
